(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 171/541 | loss=133.9580
  batch 172/541 | loss=133.2018
  batch 173/541 | loss=132.4523
  batch 174/541 | loss=131.7206
  batch 175/541 | loss=130.9934
  batch 176/541 | loss=130.2735
  batch 177/541 | loss=129.5596
  batch 178/541 | loss=128.8541
  batch 179/541 | loss=128.1547
  batch 180/541 | loss=127.4636
  batch 181/541 | loss=126.7870
  batch 182/541 | loss=126.1105
  batch 183/541 | loss=125.4427
  batch 184/541 | loss=124.7816
  batch 185/541 | loss=124.1270
  batch 186/541 | loss=123.4835
  batch 187/541 | loss=122.8495
  batch 188/541 | loss=122.2166
  batch 189/541 | loss=121.5894
  batch 190/541 | loss=120.9697
  batch 191/541 | loss=120.3567
  batch 192/541 | loss=119.7486
  batch 193/541 | loss=119.1471
  batch 194/541 | loss=118.5513
  batch 195/541 | loss=117.9618
  batch 196/541 | loss=117.3786
  batch 197/541 | loss=116.8024
  batch 198/541 | loss=116.2315
  batch 199/541 | loss=115.6671
  batch 200/541 | loss=115.1099
  batch 201/541 | loss=114.5573
  batch 202/541 | loss=114.0091
  batch 203/541 | loss=113.4670
  batch 204/541 | loss=112.9296
  batch 205/541 | loss=112.3975
  batch 206/541 | loss=111.8707
  batch 207/541 | loss=111.3488
  batch 208/541 | loss=110.8325
  batch 209/541 | loss=110.3211
  batch 210/541 | loss=109.8142
  batch 211/541 | loss=109.3134
  batch 212/541 | loss=108.8175
  batch 213/541 | loss=108.3249
  batch 214/541 | loss=107.8372
  batch 215/541 | loss=107.3533
  batch 216/541 | loss=106.8734
  batch 217/541 | loss=106.3986
  batch 218/541 | loss=105.9274
  batch 219/541 | loss=105.4614
  batch 220/541 | loss=104.9996
  batch 221/541 | loss=104.5406
  batch 222/541 | loss=104.0867
  batch 223/541 | loss=103.6408
  batch 224/541 | loss=103.2015
  batch 225/541 | loss=102.7595
  batch 226/541 | loss=102.3230
  batch 227/541 | loss=101.8894
  batch 228/541 | loss=101.4592
  batch 229/541 | loss=101.0322
